"sample","latitude","longitude","date","site","location","successful.count","detailed.bryozoa.bryozoa.cnidariamatrix.","detailed.invertebratecomplex.complex1.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.octocoral.black.whip.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","detailed.total.points.annotated","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates","Yes",1,7,8,1,0,12,1,3,0,0,0,1,18,52,NA,NA
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates","Yes",0,9,3,4,2,3,1,10,0,0,0,0,28,60,NA,NA
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates","Yes",0,2,1,2,3,2,0,3,0,0,0,1,48,62,NA,NA
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates","Yes",2,3,4,0,0,1,1,4,0,0,0,2,42,59,NA,NA
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates","Yes",0,4,0,0,0,1,0,0,0,0,0,0,62,67,NA,NA
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates","Yes",0,6,6,0,0,1,3,4,0,0,3,11,16,50,NA,NA
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates","Yes",1,4,0,0,1,0,1,4,1,0,0,0,48,60,NA,NA
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates","Yes",0,4,2,0,0,0,0,3,0,0,9,1,41,60,NA,NA
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates","Yes",0,6,12,7,2,3,3,0,0,0,0,0,19,52,NA,NA
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates","Yes",0,0,2,0,0,0,0,0,0,0,7,0,49,58,NA,NA
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates","Yes",2,2,4,14,3,4,0,3,1,0,0,1,19,53,NA,NA
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates","Yes",0,6,2,3,0,3,0,3,0,0,1,6,32,56,NA,NA
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",NA,0,5,2,0,0,1,0,10,0,0,0,1,36,55,NA,NA
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates","Yes",0,4,6,4,2,0,0,3,0,0,1,2,40,62,NA,NA
"27",-22.7027,113.556,20210518,NA,"Point Cloates","Yes",0,5,6,5,1,0,2,0,0,0,0,0,41,60,NA,NA
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,1,0,56,57,NA,NA
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates","Yes",0,9,1,0,1,2,0,1,0,0,0,0,44,58,NA,NA
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates","Yes",1,1,0,0,0,0,0,0,0,0,0,1,62,65,NA,NA
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates","Yes",0,2,0,1,0,1,0,0,0,0,1,0,59,64,NA,NA
"9",-22.6962,113.5064,20210519,"inNP.9","Point Cloates","Yes",0,1,2,0,0,0,0,0,0,0,2,0,57,62,NA,NA
"18",-22.7311,113.4913,20210519,"outNP.6","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,0,0,46,46,NA,NA
"23",-22.7362,113.4887,20210519,"outNP.11","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,1,17,44,62,NA,NA
"14",-22.7413,113.4991,20210519,"outNP.2","Point Cloates","Yes",0,1,1,0,0,0,0,0,0,0,0,16,44,62,NA,NA
"19",-22.7437,113.484,20210519,"outNP.7","Point Cloates","Yes",0,0,1,7,0,0,1,3,0,0,0,0,32,44,NA,NA
"26",-22.7537,113.4763,20210519,"outNP.14","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,1,19,26,46,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,0,0,0,0,0,20,24,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,0,0,0,0,0,20,24,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,0,0,0,0,0,20,24,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,0,0,0,0,0,20,24,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,0,0,0,0,0,20,24,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,0,0,0,0,0,20,24,NA,NA
"54",-22.7654,113.5392,20220520,NA,NA,"Yes",0,0,0,0,0,1,0,0,0,0,0,0,15,16,0.478260869565217,0.510753918455249
"52",-22.7635,113.5348,20220520,NA,NA,"Yes",0,1,0,0,0,0,0,0,1,0,0,0,12,14,0.291666666666667,0.464305621487537
"26",-22.7615,113.5484,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,1,19,26,46,NA,NA
"45",-22.7602,113.5432,20220520,NA,NA,"Yes",0,1,5,0,0,2,0,0,1,0,0,0,21,30,1,0.645497224367903
"7",-22.7574,113.5382,20220520,NA,NA,"Yes",0,4,0,0,0,1,0,0,0,0,0,0,62,67,NA,NA
"55",-22.7564,113.529,20220520,NA,NA,"Yes",0,1,7,0,0,1,2,6,1,0,0,0,14,32,1.1304347826087,0.45769658728016
"56",-22.7534,113.5302,20220520,NA,NA,"Yes",0,0,0,0,0,2,0,0,0,0,0,0,30,32,0.08,0.276887462097269
"31",-22.7542,113.5424,20220520,NA,NA,"Yes",0,3,1,1,0,1,0,0,1,0,0,0,28,35,0.208333333333333,0.414851116999053
"40",-22.7522,113.5444,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,27,27,0.08,0.276887462097269
"60",-22.7516,113.5386,20220520,NA,NA,"Yes",0,0,0,0,1,1,0,1,0,0,0,0,20,23,0.5,0.606976978666884
"12",-22.7505,113.5476,20220520,NA,NA,"Yes",1,4,0,0,1,0,1,4,1,0,0,0,48,60,NA,NA
"44",-22.7482,113.549,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.04,0.2
"37",-22.7475,113.5445,20220520,NA,NA,"Yes",0,0,3,2,5,10,2,1,5,0,0,0,8,36,1.76,0.597215762238964
"6",-22.7459,113.5531,20220520,NA,NA,"Yes",0,0,2,0,0,0,0,0,0,0,7,0,49,58,NA,NA
"59",-22.7437,113.5452,20220520,NA,NA,"Yes",0,2,1,0,0,3,0,0,0,0,2,0,19,27,0.5,0.510753918455249
"24",-22.7426,113.5507,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,2,16,16,34,0.08,0.276887462097269
"16",-22.7406,113.5395,20220520,NA,NA,"Yes",0,4,2,0,0,0,0,3,0,0,9,1,41,60,NA,NA
"62",-22.7375,113.542,20220520,NA,NA,"Yes",0,1,4,0,0,2,3,2,1,0,0,0,25,38,0.739130434782609,0.688700443150182
"23",-22.734,113.542,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,1,17,44,62,NA,NA
"49",-22.7309,113.5443,20220520,NA,NA,"No",0,1,1,0,1,0,0,0,0,0,0,0,11,14,0.2,0.414039335605413
"36",-22.7318,113.5477,20220520,NA,NA,"Yes",0,0,0,0,1,0,0,0,0,0,1,0,37,39,0.04,0.2
"64",-22.7343,113.5508,20220520,NA,NA,"Yes",0,1,1,3,0,0,0,0,1,0,0,0,26,32,0.44,0.506622805119022
"3",-22.7379,113.5515,20220520,NA,NA,"Yes",0,6,2,3,0,3,0,3,0,0,1,6,32,56,NA,NA
"4",-22.7337,113.5555,20220520,NA,NA,"Yes",0,4,6,4,2,0,0,3,0,0,1,2,40,62,NA,NA
"43",-22.7328,113.5589,20220522,NA,NA,"Yes",0,0,2,0,0,0,2,0,0,0,1,9,14,28,0.5,0.760885910252682
"8",-22.7298,113.5538,20220522,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,1,0,56,57,NA,NA
"11",-22.7274,113.5498,20220522,NA,NA,"Yes",0,9,1,0,1,2,0,1,0,0,0,0,44,58,NA,NA
"10",-22.7272,113.5424,20220522,NA,NA,"No",1,1,0,0,0,0,0,0,0,0,0,1,62,65,NA,NA
"27",-22.7254,113.5459,20220522,NA,NA,"Yes",0,5,6,5,1,0,2,0,0,0,0,0,41,60,NA,NA
"32",-22.7239,113.5552,20220522,NA,NA,"Yes",0,1,0,0,0,0,0,0,0,0,0,0,30,31,0.2,0.410391340834062
"20",-22.7212,113.5561,20220522,NA,NA,"Yes",0,1,0,0,0,0,0,0,0,0,2,0,27,30,0.04,0.2
"5",-22.7218,113.5506,20220522,NA,NA,"Yes",0,2,0,1,0,1,0,0,0,0,1,0,59,64,NA,NA
"1",-22.7221,113.5447,20220522,NA,NA,"Yes",0,5,2,0,0,1,0,10,0,0,0,1,36,55,NA,NA
"33",-22.719,113.549,20220522,NA,NA,"Yes",0,2,1,0,0,0,0,0,0,0,1,0,27,31,0,0
"50",-22.7173,113.5528,20220522,NA,NA,"Yes",0,2,0,0,0,1,0,2,0,0,0,0,30,35,0.56,0.506622805119022
"41",-22.7154,113.5479,20220522,NA,NA,"Yes",0,1,2,0,1,2,0,0,0,0,0,0,26,32,0.32,0.476095228569523
"18",-22.7101,113.5492,20220522,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,46,46,NA,NA
"39",-22.7105,113.5539,20220522,NA,NA,"Yes",0,3,0,5,1,4,4,1,2,0,0,0,11,31,1.85,1.13670808176853
"22",-22.7072,113.5554,20220522,NA,NA,"Yes",0,9,3,4,2,3,1,10,0,0,0,0,28,60,NA,NA
"30",-22.7058,113.5588,20220522,NA,NA,"Yes",0,1,4,6,1,0,0,0,0,1,0,0,25,38,0.535714285714286,0.576203594236084
"58",-22.7056,113.5502,20220522,NA,NA,"Yes",0,0,3,0,0,0,0,0,0,0,0,0,23,26,0.25,0.444261658319319
"25",-22.7053,113.5466,20220522,NA,NA,"Yes",0,2,1,2,3,2,0,3,0,0,0,1,48,62,NA,NA
"17",-22.7011,113.5532,20220522,NA,NA,"Yes",1,7,8,1,0,12,1,3,0,0,0,1,18,52,NA,NA
"35",-22.6987,113.551,20220522,NA,NA,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,30,32,0.16,0.374165738677394
"42",-22.6952,113.5537,20220522,NA,NA,"Yes",0,0,3,0,0,0,0,0,0,0,0,0,34,37,0.12,0.33166247903554
"15",-22.6977,113.5561,20220522,NA,NA,"Yes",2,3,4,0,0,1,1,4,0,0,0,2,42,59,NA,NA
"47",-22.6999,113.5592,20220522,NA,NA,"Yes",0,1,0,0,0,0,0,0,0,0,0,0,32,33,0.04,0.2
"28",-22.6987,113.5625,20220522,NA,NA,"Yes",0,1,6,0,0,1,0,0,1,0,1,0,26,36,0.833333333333333,0.56465970257328
"2",-22.6957,113.5628,20220522,NA,NA,"Yes",2,2,4,14,3,4,0,3,1,0,0,1,19,53,NA,NA
"48",-22.696,113.5596,20220522,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,0,4,28,32,0,0
"9",-22.6934,113.5571,20220522,NA,NA,"Yes",0,1,2,0,0,0,0,0,0,0,2,0,57,62,NA,NA
"46",-22.693,113.5605,20220522,NA,NA,"Yes",0,2,3,19,0,0,1,1,1,0,0,0,9,36,1.93333333333333,0.980265035707122
"34",-22.6928,113.5645,20220522,NA,NA,"Yes",0,1,6,0,0,0,0,0,0,0,0,0,22,29,0.478260869565217,0.510753918455249
"21",-22.6893,113.5652,20220522,NA,NA,"Yes",0,6,12,7,2,3,3,0,0,0,0,0,19,52,NA,NA
"51",-22.69,113.5609,20220522,NA,NA,"Yes",0,0,2,8,0,3,0,1,1,0,0,0,22,37,1.16,0.8
"29",-22.691,113.5564,20220522,NA,NA,"Yes",0,0,4,8,0,1,0,2,0,0,0,0,21,36,1.53571428571429,1.07089934019281
"57",-22.6751,113.561,20220526,NA,NA,"Yes",0,0,8,7,3,1,2,4,0,0,0,0,7,32,1.8,0.695852373938459
"63",-22.6744,113.5666,20220526,NA,NA,"Yes",0,0,1,0,2,0,0,0,0,0,0,0,21,24,0.318181818181818,0.476731294622796
"61",-22.6779,113.5654,20220526,NA,NA,"Yes",0,1,4,6,1,0,0,0,0,0,0,0,18,30,0.916666666666667,0.775531608229039
"53",-22.6839,113.5636,20220526,NA,NA,"Yes",0,0,4,1,1,8,5,1,4,0,0,0,1,25,2,0.666666666666667
"19",-22.6847,113.5669,20220526,NA,NA,"Yes",0,0,1,7,0,0,1,3,0,0,0,0,32,44,NA,NA
"38",-22.6868,113.5642,20220526,NA,NA,"Yes",0,2,5,5,0,2,0,0,1,1,0,0,14,30,1.32,0.690410505906933
"13",-22.6872,113.5606,20220526,NA,NA,"Yes",0,6,6,0,0,1,3,4,0,0,3,11,16,50,NA,NA
"14",-22.6876,113.5568,20220526,NA,NA,"Yes",0,1,1,0,0,0,0,0,0,0,0,16,44,62,NA,NA
